pinky,ring,middle,index,thumb,gesture
627,707,723,464,843,"fist"
625,678,720,451,862,"fist"
672,687,689,432,873,"fist"
638,704,685,446,914,"fist"
645,688,624,439,944,"fist"
657,704,617,451,996,"fist"
675,717,626,447,1008,"fist"
675,720,607,445,1005,"fist"
674,723,617,457,976,"fist"
653,753,640,437,942,"fist"
635,703,640,423,879,"fist"
637,688,656,447,835,"fist"
613,695,698,455,832,"fist"
624,677,704,448,819,"fist"
616,703,722,461,820,"fist"
614,704,725,464,835,"fist"
621,752,725,454,844,"fist"
646,688,719,474,854,"fist"
621,688,719,453,874,"fist"
623,694,636,453,894,"fist"
639,704,628,459,895,"fist"
642,699,626,446,896,"fist"
639,715,623,448,899,"fist"
640,711,640,450,901,"fist"
659,718,653,462,881,"fist"
657,699,688,455,880,"fist"
625,701,688,463,845,"fist"
630,694,724,458,837,"fist"
655,711,721,452,848,"fist"
630,701,720,464,853,"fist"
641,690,674,459,880,"fist"
639,699,629,450,903,"fist"
646,703,625,454,911,"fist"
642,708,622,448,922,"fist"
656,712,628,448,928,"fist"
654,715,624,458,935,"fist"
655,688,624,451,922,"fist"
652,720,642,458,887,"fist"
641,704,674,455,843,"fist"
624,711,707,455,826,"fist"
632,720,720,464,831,"fist"
636,718,730,464,843,"fist"
624,720,730,462,845,"fist"
630,716,725,464,848,"fist"
624,724,730,458,845,"fist"
656,719,722,464,878,"fist"
640,688,661,480,883,"fist"
657,685,631,431,904,"fist"
651,726,626,455,933,"fist"
656,715,637,448,934,"fist"
656,700,630,452,931,"fist"
659,720,631,450,927,"fist"
643,717,658,451,883,"fist"
629,694,683,459,848,"fist"
624,699,714,464,827,"fist"
594,719,720,461,849,"fist"
621,709,737,465,847,"fist"
629,704,710,466,858,"fist"
640,667,690,464,861,"fist"
646,693,614,453,938,"fist"
662,713,613,447,999,"fist"
663,735,631,459,1046,"fist"
686,736,626,455,1058,"fist"
686,730,626,458,1040,"fist"
688,734,625,459,1040,"fist"
686,754,628,464,1055,"fist"
686,743,627,452,1050,"fist"
688,737,639,463,1040,"fist"
688,737,643,459,1046,"fist"
685,739,634,442,1039,"fist"
688,719,626,458,1031,"fist"
659,743,640,459,1037,"fist"
683,740,630,452,1043,"fist"
685,759,629,455,1040,"fist"
685,746,630,448,1041,"fist"
694,743,635,457,1038,"fist"
569,524,1370,1167,1040,"peace"
582,550,1420,1155,1043,"peace"
600,579,1456,1104,1079,"peace"
602,597,1471,1101,1104,"peace"
581,585,1469,1095,1106,"peace"
609,601,1461,1104,1109,"peace"
614,595,1449,1086,1109,"peace"
611,629,1450,1075,1115,"peace"
599,598,1441,1072,1086,"peace"
563,576,1393,1090,1033,"peace"
556,560,1325,1149,1019,"peace"
587,550,1330,1169,993,"peace"
560,561,1347,1175,1005,"peace"
573,549,1384,1177,1030,"peace"
584,566,1425,1151,1040,"peace"
602,592,1470,1117,1083,"peace"
618,597,1467,1108,1129,"peace"
603,604,1467,1099,1120,"peace"
603,610,1439,1147,1115,"peace"
588,605,1466,1151,1115,"peace"
610,610,1403,1152,1091,"peace"
594,592,1280,1202,1046,"peace"
524,560,1274,1210,953,"peace"
578,560,1266,1218,959,"peace"
576,560,1294,1219,990,"peace"
578,577,1326,1237,1014,"peace"
583,594,1358,1255,1037,"peace"
615,607,1360,1279,1050,"peace"
624,614,1328,1232,1051,"peace"
619,607,1280,1227,1038,"peace"
624,605,1267,1250,1045,"peace"
606,593,1273,1262,1031,"peace"
594,576,1241,1211,1014,"peace"
573,585,1264,1189,1013,"peace"
607,589,1267,1193,1030,"peace"
614,604,1296,1231,1034,"peace"
608,602,1326,1263,1049,"peace"
608,603,1374,1296,1053,"peace"
624,615,1434,1231,1083,"peace"
625,620,1493,1152,1077,"peace"
624,619,1494,1088,1102,"peace"
631,616,1306,989,1102,"peace"
629,623,1270,949,1120,"peace"
631,625,1302,991,1104,"peace"
612,625,1318,1008,1117,"peace"
650,620,1392,1036,1097,"peace"
627,623,1415,1067,1089,"peace"
630,623,1419,1050,1094,"peace"
634,624,1413,1072,1090,"peace"
633,624,1360,1200,1080,"peace"
623,624,1296,1299,1065,"peace"
618,613,1282,1275,1009,"peace"
613,599,1253,1249,991,"peace"
592,577,1261,1231,976,"peace"
590,577,1283,1236,991,"peace"
640,553,1279,1239,995,"peace"
583,557,1299,1250,1002,"peace"
590,562,1314,1243,1013,"peace"
605,575,1376,1290,1053,"peace"
667,592,1424,1296,1105,"peace"
627,606,1447,1271,1133,"peace"
642,610,1434,1227,1155,"peace"
642,606,1423,1218,1151,"peace"
628,589,1413,1205,1090,"peace"
551,561,1360,1168,1035,"peace"
579,560,1335,1152,985,"peace"
546,523,1361,1154,956,"peace"
581,560,1353,1170,978,"peace"
585,567,1391,1145,1021,"peace"
618,581,1425,1185,1074,"peace"
663,603,1459,1191,1132,"peace"
659,640,1479,1076,1171,"peace"
662,624,1364,983,1171,"peace"
663,630,1377,974,1181,"peace"
671,634,1328,965,1187,"peace"
666,650,1314,941,1175,"peace"
663,641,1357,993,1177,"peace"
645,639,1438,1047,1152,"peace"
639,609,1375,1161,1093,"peace"
632,606,1332,1222,1086,"peace"
633,614,1310,1259,1065,"peace"
636,619,1283,1232,1070,"peace"
624,631,1275,1217,1058,"peace"
645,624,1282,1218,1071,"peace"
